date,age,number,ages
2021-01-01,age16_24,172,Aged 16 to 24
2021-01-01,age25_44,475,Aged 25 to 44
2021-01-01,age45_64,232,Aged 45 to 64
2021-01-01,age65over,20,Over 65
2021-02-01,ageunder16,244,Under 16
2021-02-01,age16_24,168,Aged 16 to 24
2021-02-01,age25_44,455,Aged 25 to 44
2021-02-01,age45_64,216,Aged 45 to 64
2021-02-01,age65over,19,Over 65
2021-03-01,ageunder16,247,Under 16
2021-03-01,age16_24,163,Aged 16 to 24
2021-03-01,age25_44,438,Aged 25 to 44
2021-03-01,age45_64,210,Aged 45 to 64
2021-03-01,age65over,17,Over 65
2021-04-01,ageunder16,223,Under 16
2021-04-01,age16_24,145,Aged 16 to 24
2021-04-01,age25_44,374,Aged 25 to 44
2021-04-01,age45_64,182,Aged 45 to 64
2021-04-01,age65over,15,Over 65
2021-05-01,ageunder16,220,Under 16
2021-05-01,age16_24,144,Aged 16 to 24
2021-05-01,age25_44,376,Aged 25 to 44
2021-05-01,age45_64,182,Aged 45 to 64
2021-05-01,age65over,17,Over 65
2021-06-01,ageunder16,244,Under 16
2021-06-01,age16_24,152,Aged 16 to 24
2021-06-01,age25_44,390,Aged 25 to 44
2021-06-01,age45_64,196,Aged 45 to 64
2021-06-01,age65over,16,Over 65
2021-07-01,ageunder16,258,Under 16
2021-07-01,age16_24,150,Aged 16 to 24
2021-07-01,age25_44,390,Aged 25 to 44
2021-07-01,age45_64,198,Aged 45 to 64
2021-07-01,age65over,18,Over 65
2021-08-01,ageunder16,254,Under 16
2021-08-01,age16_24,143,Aged 16 to 24
2021-08-01,age25_44,386,Aged 25 to 44
2021-08-01,age45_64,191,Aged 45 to 64
2021-08-01,age65over,21,Over 65
2021-09-01,ageunder16,312,Under 16
2021-09-01,age16_24,161,Aged 16 to 24
2021-09-01,age25_44,454,Aged 25 to 44
2021-09-01,age45_64,199,Aged 45 to 64
2021-09-01,age65over,23,Over 65
2021-10-01,ageunder16,364,Under 16
2021-10-01,age16_24,182,Aged 16 to 24
2021-10-01,age25_44,519,Aged 25 to 44
2021-10-01,age45_64,211,Aged 45 to 64
2021-10-01,age65over,25,Over 65
2021-11-01,ageunder16,362,Under 16
2021-11-01,age16_24,187,Aged 16 to 24
2021-11-01,age25_44,556,Aged 25 to 44
2021-11-01,age45_64,222,Aged 45 to 64
2021-11-01,age65over,22,Over 65
2021-12-01,ageunder16,415,Under 16
2021-12-01,age16_24,204,Aged 16 to 24
2021-12-01,age25_44,641,Aged 25 to 44
2021-12-01,age45_64,247,Aged 45 to 64
2021-12-01,age65over,23,Over 65
2022-01-01,ageunder16,470,Under 16
2022-01-01,age16_24,229,Aged 16 to 24
2022-01-01,age25_44,725,Aged 25 to 44
2022-01-01,age45_64,275,Aged 45 to 64
2022-01-01,age65over,27,Over 65
2022-02-01,ageunder16,487,Under 16
2022-02-01,age16_24,261,Aged 16 to 24
2022-02-01,age25_44,758,Aged 25 to 44
2022-02-01,age45_64,299,Aged 45 to 64
2022-02-01,age65over,28,Over 65
2022-03-01,ageunder16,582,Under 16
2022-03-01,age16_24,312,Aged 16 to 24
2022-03-01,age25_44,837,Aged 25 to 44
2022-03-01,age45_64,337,Aged 45 to 64
2022-03-01,age65over,31,Over 65
2022-04-01,ageunder16,631,Under 16
2022-04-01,age16_24,333,Aged 16 to 24
